year,trial,geno,rep,sc,MT,FF,F50,MF50,HT,WD,BM,LT,HM,HI,HD,CL,BS,BR,BU,HC,HE,HS,HU,HR,OQ,FC,note.plot
2,4,B190,2,11,96,103,125,29,30.988,81.28,967.86,7,249.8,25.8095179054822,94.33,41.32,1.534,5,4,5,3,5,5,4,5,0,
2,4,B190,3,11,102,112,122,20,35.052,85.344,816.52,9,195.48,23.940626071621,85.14,43.31,1.508,5,4,5,3,4,4,4,3,0,
2,4,B191,1,13,94,100,106,12,65.278,92.202,1366.56,22,74.7,5.4662802950474,61.53,26.05,3.034,5,3,3,4,3,4,3,2,0,
2,4,B191,2,8,91,90,106,15,68.58,93.726,573.86,13,67.76,11.8077579897536,57.79,24.86,2.702,5,3,3,5,2,4,4,2,0,
2,4,B191,3,15,85,88,106,21,71.374,88.646,975.62,24,77.92,7.9867161394805,67.43,24.64,2.234,4,4,3,5,2,4,3,2,0,
2,4,B192,1,10,90,93,99,9,42.418,100.33,791.03,10,160.06,20.2343779629091,90.13,40.67,1.764,5,3,4,3,3,3,2,2,0,
2,4,B192,2,10,92,96,106,14,51.308,114.554,787.27,9,179.86,22.8460375728784,86.12,32.84,1.744,5,4,4,3,3,3,3,3,0,
2,4,B192,3,10,87,98,103,16,43.688,102.108,1411.7,17,232.86,16.4950060211093,109.62,58.12,1.704,4,5,5,2,3,3,3,3,0,
2,4,B193,1,18,80,98,101,21,31.242,79.502,588.87,6,158.84,26.9736953826821,78.41,34.2,1.448,5,3,5,2,4,4,3,3,0,
2,4,B193,2,13,81,98,102,21,32.7025,96.774,1308.3,7,312.55,23.8897806313537,137.96,63.51,2.758,5,3,5,3,4,3,3,4,0,
2,4,B193,3,13,87,99,105,18,37.592,90.17,919.7,9,251.07,27.2991192780254,100.57,42.22,1.424,5,5,4,3,4,4,5,5,0,
2,4,B194,1,1,85,NA,NA,NA,36.576,97.536,2523.43,4,634.71,25.1526691844038,154.45,66.49,2.088,5,4,5,3,4,5,4,4,NA,
2,4,B194,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
2,4,B194,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
2,4,B195,1,8,101,110,113,12,42.672,80.01,1069.78,5,209.55,19.5881396174914,100.62,52.12,1.6,5,3,4,3,4,4,4,4,0,
2,4,B195,2,5,99,110,111,12,44.196,80.518,1785.98,8,378.58,21.1973258379153,120.91,54.39,1.742,5,3,5,3,4,4,4,4,0,
2,4,B195,3,12,103,108,108,5,46.228,62.23,994.85,9,213.84,21.4946976931196,103.2,51.75,1.522,5,4,4,4,4,4,4,4,0,
2,4,B196,1,11,79,101,105,26,33.528,82.296,747.42,5,185.87,24.8682133204891,89.54,36.28,1.772,4,2,5,3,4,3,2,3,0,
2,4,B196,2,13,85,107,113,28,31.242,70.612,516.59,10,153.23,29.6618207863102,73.75,35.97,1.626,4,2,5,3,3,3,2,2,0,
2,4,B196,3,13,83,105,108,25,30.226,60.452,473.15,5,131.59,27.8114762760224,67.48,35.63,1.814,4,3,4,3,3,3,3,3,0,
2,4,B198,1,21,102,112,118,16,41.402,95.758,1117.48,17,214.48,19.1931846654974,81.48,37.12,1.342,5,3,5,3,4,3,4,4,0,
2,4,B198,2,10,105,112,116,11,43.434,82.55,1116.2,8,251.2,22.5049274323598,104.85,52.61,1.686,5,4,5,3,4,4,4,4,0,
2,4,B198,3,16,106,116,123,17,38.1,77.216,968.6,16,206.6,21.3297542845344,106.5,36.8,1.552,5,4,4,4,3,4,4,4,0,
2,4,B204,1,4,96,97,110,14,62.484,91.44,1584.89,18,83.87,5.2918499075646,85.43,25.99,2.312,5,4,3,5,3,5,4,2,0,
2,4,B204,2,8,105,94,111,6,65.024,87.376,761.13,20,66.78,8.7737968546766,56.55,20.01,1.826,5,1,4,4,3,4,3,2,0,
2,4,B204,3,8,111,125,NA,NA,60.452,95.25,1546.95,32,44.88,2.9011926694463,46.85,27.76,2.522,5,4,3,4,2,5,4,2,0,
2,4,B205,1,8,94,95,105,11,54.864,87.63,1109.03,21,69.91,6.3037068429168,86.01,34.89,1.856,4,4,2,5,2,3,4,2,0,
2,4,B205,2,6,108,109,117,9,74.168,107.5182,1641.31,24,71.33,4.3459188087564,73.21,25.43,2.458,5,4,4,4,3,4,4,2,0,
2,4,B205,3,8,98,101,118,20,56.388,85.09,1787.59,21,94.17,5.2679865069731,61.2,24.8,2.274,5,4,4,4,3,5,4,2,0,
2,4,B206,1,11,94,106,117,23,32.766,104.648,933.44,5,227.66,24.3893555022283,105.89,51.37,1.388,5,3,5,3,4,4,4,4,0,
2,4,B206,2,11,100,106,117,17,34.29,92.964,876.48,7,197.2,22.4990872581234,86.23,41.71,1.464,5,4,5,3,4,5,4,4,0,
2,4,B206,3,11,103,108,120,17,34.544,99.06,1057.03,5,297.97,28.1893607560807,122.38,48.95,1.77,5,4,4,3,4,4,5,4,0,
2,4,B210,1,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
2,4,B210,2,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
2,4,B210,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
