<Phenotype>
taxa	covariate	covariate	covariate	covariate	covariate
Taxa	PC1	PC2	PC3	PC4	PC5
B133_HKT721_E5_Ramoso_Calabrese_OP	19.732527	-1.7977076	2.8132136	0.09750033	-21.148003
B134_HKT721_E6_Cavolo_Sparacello_OP	-20.975914	15.604327	4.192782	10.992933	-8.315269
B135_HKT721_E7_N_tagliu_N_tagghiv_Pilotu_OP	-16.983585	30.010422	4.097494	9.202692	-7.2936172
B136_HKT721_E8_Ramoso_Calabrese_Verde_OP	18.446867	-6.526321	11.339133	5.029744	-5.2081504
B137_HKT721_E9_Ramoso_Calabrese_Precoce_OP	16.777636	-2.0081863	24.272095	-3.4343126	-9.84492
B138_HKT721_E10_Broccolo_No_1_OP	-26.337664	1.1612071	7.6863165	4.906439	-6.6103673
B139_HKT721_E11_Di_Sicilia_Catanese_OP	-8.407651	39.94287	-7.8698416	-0.54071325	3.7466621
B141_HKT721_F1_BH028_F1	20.771557	-3.0607963	13.854615	-9.367952E-4	10.545087
B142_HKT721_F2_BH034_F1	23.865978	-8.882268	6.1357327	-2.5065007	14.761721
B143_HKT721_F3_BH027_F1	20.908686	-8.058992	10.634859	-0.16291443	22.464827
B144_HKT721_F4_BC1691_F1	30.549656	-4.332029	-25.243692	-1.9326094	-6.140956
B145_HKT721_G6_BC1764_F1	29.85088	-5.220305	-18.302475	-1.1203842	-4.32185
B146_HKT721_F6_Montvert_F1	29.19843	-9.970819	-5.740528	1.0341561	9.710957
B147_HKT721_F7_DuraPak_16_F1	31.393955	-3.8275356	-19.356356	-2.2516057	-13.482846
B148_HKT721_F8_Burney_F1	28.186497	-10.97434	-12.13919	4.337127	3.0727813
B150_HKT721_F10_Eastern_Crown_F1	25.547873	-7.8280277	-7.478988	-1.7136042	-7.0227275
B151_HKT721_F11_Imperial_F1	27.896381	-8.678585	-1.2471645	-2.489114	-4.36753
B152_HKT721_F12_Emerald_Crown_F1	25.8449	-3.02741	-10.327768	-0.24519685	-0.8058515
B153_HKT721_G1_Everest_F1	29.034296	-7.6931887	-2.4733734	1.1656685	13.781547
B154_HKT721_G2_BH019_F1	23.079962	-8.996779	15.109193	2.5488825	22.66067
B155_HKT721_G3_BH020_F1	29.553926	-4.483743	-11.742672	0.97140276	3.7061815
B156_HKT721_G4_BH026_F1	25.443998	-6.3557158	10.1281595	0.53191113	17.163488
B159_HKT721_G7_BH044_F1	25.109882	-7.160423	7.484681	1.8024634	24.67828
B161_HKT721_G9_USVL112_IBL	19.21519	-10.575739	15.966731	0.3783828	21.738003
B163_HKT721_G11_P1A_IBL	11.444272	1.2979181	4.2931256	-3.097694	14.877549
B164_HKT721_G12_P8_IBL	20.924334	-0.90780985	1.8808256	-0.71393466	1.2573043
B165_HKT721_H1_P9_IBL	19.042921	-6.0547657	2.2735498	-4.260046	24.50724
B166_HKT721_H2_P13_IBL	14.540216	0.62138015	15.50414	-0.889937	23.47071
B167_HKT721_H3_P19_IBL	20.414782	9.047221	6.1764746	-3.0522711	1.6338788
B168_HKT721_H4_S446_IBL	23.651073	-5.237236	14.332809	4.581416	18.347622
B169_HKT721_H5_S454_IBL	21.376572	-11.043495	25.024778	4.6299114	18.277746
B170_HKT721_H6_S462_IBL	20.99125	-10.444641	22.751453	3.537234	18.967627
B171_HKT721_H7_S475_IBL	22.85928	0.07482037	0.98115826	3.1110265	12.333124
B172_HKT721_H8_USVL_Hopkins_IBL	10.1351	-0.47190583	16.805183	-1.7828466	-11.123032
B173_HKT721_H9_USVL_089_IBL	29.185135	-6.4185266	-3.273541	-0.5209564	16.329376
B174_HKT721_H10_USVL_012_IBL	28.665287	-6.263303	2.958883	1.0736276	20.45639
B175_HKT721_H11_USVL_012_IBL	29.594465	-6.795815	-22.085005	-1.3853703	10.62072
B176_HKT721_H12_USVL_043_IBL	27.476881	1.5056759	-15.530984	-2.8800292	0.2022406
B181_HKT723_A5_Green_Numen_F1	26.130358	-5.6546636	-4.860869	1.1790828	10.669235
B182_HKT723_A6_Green_Elegance_F1	24.67516	-7.874807	16.120506	-0.16158962	10.907667
B183_HKT723_A7_White_Coral_F1	-3.031171	39.63684	-6.227822	-2.2593389	11.457257
B187_CB5UE6_F9_Clara	19.434542	7.253124	-11.429938	0.034210045	3.3874214
B187_HKT723_A11_Clara_F1	12.795561	17.486956	-4.0260367	0.8054379	11.484981
B189_HKT723_B1_EMBR934_UNK	24.429691	-4.511218	-13.876062	-1.2247784	-5.29193
B190_HKT723_B2_EMBR958_UNK	20.86145	-3.326376	-0.5650069	-2.947399	1.8420837
B191_HKT723_B3_Waltham_29_OP	19.505129	-7.8947377	15.76713	1.6675671	-8.373805
B192_HKT723_B4_Premium_Crop_F1	23.174314	-6.012474	7.687273	2.790884	6.571556
B193_HKT723_B5_TBR_130_UNK	31.962955	-6.8926806	-15.236727	-1.3388445	0.063055694
B194_HKT723_B6_Corato_F1	28.260323	-7.6286893	-11.002271	0.1254714	-1.8369935
B195_HKT723_B7_Belstar_F1	31.230003	-9.132027	-21.77531	0.9146687	-5.5847664
